""	"Theta"	"DeltaD"	"DeltaS"	"Lambda"	"Rho"	"LogLik"	Sample
"Mean"	0.0356326162784272	0.000126347331911998	0.0402849915788854	0.0489866423815814	0.365098272129564	408550.234710418	183194841
"Std."	9.66417375676195e-06	0.000117703310796176	0.000115296949076095	0.000415388183734669	0.000135092720777722	1.83892068844977	183194841
"Acceptance ratio"	0.20416	0.11352	0.18634	0.1908	0.11248	0.58428	183194841
"0%"	0.0355978215939291	9.40117976956019e-08	0.0398038159374374	0.0481672515092932	0.36459159127878	408539.263298449	183194841
"2.5%"	0.0356135191876827	2.15656391853457e-06	0.0399798569061196	0.0484200535737953	0.364839414385526	408545.779703681	183194841
"5%"	0.035616591682653	5.44465043540242e-06	0.0400451677007763	0.0484776514585832	0.364883104435337	408546.671929876	183194841
"7.5%"	0.0356186713832937	8.15319416495222e-06	0.0400995761354126	0.0485202921295603	0.364909534648207	408547.250655836	183194841
"10%"	0.0356203799508338	1.16584661817393e-05	0.0401339390313655	0.0485506600984545	0.364929882041525	408547.715291628	183194841
"12.5%"	0.0356216108698108	1.55016452621712e-05	0.0401559422486525	0.048579348744184	0.364943537279995	408548.071418354	183194841
"15%"	0.0356227782795061	1.91763451787819e-05	0.0401790984809565	0.0486072725151919	0.364959828265875	408548.367090297	183194841
"17.5%"	0.0356237232805275	2.3167882606688e-05	0.0401931080329437	0.0486311334273372	0.364970266465059	408548.629411189	183194841
"20%"	0.0356245429641678	2.68834168723726e-05	0.04020597750426	0.0486527954310993	0.364981384994237	408548.854713796	183194841
"22.5%"	0.0356253383238809	3.09184521784562e-05	0.0402179775908798	0.0486754378284537	0.364993013708722	408549.050880245	183194841
"25%"	0.035626125046696	3.57492107924992e-05	0.0402282388615481	0.0486982377546624	0.365005245672941	408549.227376397	183194841
"27.5%"	0.0356268464558643	4.07222103769241e-05	0.0402372912757224	0.048718833469186	0.365015205509996	408549.415507871	183194841
"30%"	0.035627500018267	4.60072751984367e-05	0.0402476938896499	0.0487383201194225	0.365025530988507	408549.581594828	183194841
"32.5%"	0.0356281906029632	5.12102375286909e-05	0.0402564225886041	0.0487563824675457	0.365034033538153	408549.732731811	183194841
"35%"	0.0356288048643018	5.70325987406532e-05	0.0402656992634689	0.0487802027579074	0.36504370873931	408549.868337013	183194841
"37.5%"	0.0356294640993632	6.36577630739113e-05	0.0402746593202574	0.0488002596516226	0.365053042320078	408550.007152187	183194841
"40%"	0.0356300602128891	6.88474679645768e-05	0.0402824077370738	0.0488193317693295	0.365062161573108	408550.138370681	183194841
"42.5%"	0.035630718779681	7.58484428129987e-05	0.0402894534226102	0.048841923510417	0.365072925400286	408550.262525334	183194841
"45%"	0.0356313058596413	8.24774439907105e-05	0.0402961124560346	0.0488612287197043	0.365082510504285	408550.371776342	183194841
"47.5%"	0.0356319340106281	8.88954450717703e-05	0.040302998622328	0.0488832837044988	0.365090583204612	408550.480092019	183194841
"50%"	0.0356325001558369	9.68766980736769e-05	0.0403087948494808	0.0489064997984234	0.365099002653937	408550.580747712	183194841
"52.5%"	0.0356331051337526	0.000104082014665164	0.0403148648691843	0.0489315083982137	0.365107357521319	408550.684831803	183194841
"55%"	0.0356338107073935	0.000111164691905174	0.0403210256790447	0.0489513024166606	0.365115289032352	408550.786112612	183194841
"57.5%"	0.0356345263239792	0.000116782236982261	0.0403274135863901	0.0489725348747857	0.36512276077406	408550.88540119	183194841
"60%"	0.0356352071567351	0.000123708375072421	0.0403337811976889	0.0489941836549781	0.365129207137066	408550.987501917	183194841
"62.5%"	0.035635786350293	0.00013275037995683	0.0403397264684547	0.0490222890866994	0.365138785045518	408551.084683506	183194841
"65%"	0.0356363793548365	0.000142414407225472	0.0403448716727879	0.049046410998392	0.365147427923496	408551.182101946	183194841
"67.5%"	0.0356370475500842	0.00014995885093446	0.0403501811884504	0.0490743990243948	0.365158329148278	408551.285469478	183194841
"70%"	0.0356376851693488	0.000156892437187934	0.0403548493537616	0.0491005348346661	0.365167801295733	408551.383860887	183194841
"72.5%"	0.0356384160000016	0.000165482281286419	0.0403601618604137	0.0491298780327338	0.365178315104074	408551.484222198	183194841
"75%"	0.0356391422740593	0.000175535347359896	0.040366347643285	0.0491665526064148	0.365190028017384	408551.580547761	183194841
"77.5%"	0.0356399969436127	0.000187545636110236	0.0403728102061079	0.0492069285901041	0.365201209254112	408551.681160103	183194841
"80%"	0.0356408073639985	0.000200659057817082	0.0403782355565584	0.04924979131948	0.365213761649716	408551.78336409	183194841
"82.5%"	0.0356416475398094	0.000213985084909489	0.0403841132656174	0.0492997853808711	0.365224100994431	408551.889919024	183194841
"85%"	0.0356425078291786	0.000232046817733292	0.0403908090595813	0.0493671088679434	0.365237520137041	408552.003045434	183194841
"87.5%"	0.0356437826828626	0.000254583927738397	0.0403979895877062	0.0494571432986461	0.365251452349719	408552.135207548	183194841
"90%"	0.0356449733172983	0.000289281952359719	0.0404064571861762	0.0495618442464537	0.365270079676383	408552.266786958	183194841
"92.5%"	0.035646491139873	0.000325635036798197	0.0404165997883641	0.0496848701312225	0.365293326993122	408552.423050555	183194841
"95%"	0.0356485814808721	0.000372052996089696	0.040427484261806	0.0498355109922511	0.365322339405211	408552.592651065	183194841
"97.5%"	0.0356515936509699	0.000454190230641806	0.0404429073104631	0.0500537014788816	0.365377008408382	408552.820459463	183194841
"100%"	0.0356662780240401	0.000610425327063648	0.0405417983819452	0.0510335112228277	0.365618311165596	408553.402952923	183194841
"Mean"	0.0357124665574205	0.000291907276161131	0.0405898707765023	0.0501087163239768	0.373223250195087	272513.83320318	183195332
"Std."	9.39456928354186e-06	0.000213042445348578	0.00019823377487335	0.00073506505826199	0.000133496667523937	1.84951941122142	183195332
"Acceptance ratio"	0.20046	0.11844	0.18658	0.18448	0.11686	0.58572	183195332
"0%"	0.0356732077513367	1.20968808217339e-07	0.0399704621543036	0.0487543292519607	0.372771764535376	272499.043936212	183195332
"2.5%"	0.035693835925765	1.03674097311551e-05	0.0401259202215974	0.0491137500571471	0.372960772581395	272509.495604131	183195332
"5%"	0.0356971160626411	2.20529437462634e-05	0.0401977762131693	0.0491779314602322	0.373003165394827	272510.340947442	183195332
"7.5%"	0.035698981431528	3.51185096680452e-05	0.040262710549901	0.0492239641325385	0.373030338810662	272510.830711222	183195332
"10%"	0.0357004231038583	4.60094827736905e-05	0.0403092981041828	0.0492699843306156	0.373048958780668	272511.264395534	183195332
"12.5%"	0.0357018402929991	5.82537551583575e-05	0.0403434149043993	0.0493202182107061	0.373065318139342	272511.612504903	183195332
"15%"	0.0357028292056666	6.82718582571045e-05	0.0403713999976397	0.0493547145643075	0.373079888363303	272511.910495845	183195332
"17.5%"	0.0357038267723394	7.78676687659138e-05	0.0404006767806394	0.049391590425815	0.373094243603341	272512.162774559	183195332
"20%"	0.0357046139736932	8.75333305415336e-05	0.0404264226335522	0.0494231364066117	0.373108235578079	272512.403985007	183195332
"22.5%"	0.0357054229016347	9.92242571611892e-05	0.0404492757868512	0.0494612699564986	0.373123627018853	272512.612825878	183195332
"25%"	0.0357061277236274	0.000107389862690308	0.0404666954394629	0.0495022957141077	0.373132626039724	272512.800619105	183195332
"27.5%"	0.0357067871561076	0.000116831369236519	0.0404833672788192	0.0495413508305903	0.373144472533739	272512.979295621	183195332
"30%"	0.0357075051142866	0.000130236860505601	0.0405001392932268	0.0495885999099912	0.373155390984675	272513.143920128	183195332
"32.5%"	0.035708166419076	0.00014422727937309	0.0405163973693423	0.0496353000744643	0.373163963537873	272513.295336104	183195332
