""	"Theta"	"DeltaD"	"DeltaS"	"Lambda"	"Rho"	"LogLik"	Sample
"Mean"	0.0367837175165087	0.0459503292732791	6.90035371119552e-07	0.0998848176339264	0.41351963310411	-149653.544532869	29779
"Std."	1.59151256883765e-05	5.20620442015089e-05	6.662781323628e-07	0.000468538604976789	0.000239972215060155	1.77225014964924	29779
"Acceptance ratio"	0.1703	0.10746	0.06122	0.12014	0.19538	0.50738	29779
"0%"	0.0367230956153041	0.0457815926770709	3.75916399441325e-10	0.0981167474656045	0.412516773582422	-149665.862126635	29779
"2.5%"	0.0367514359750899	0.0458519410154395	1.2813434852685e-08	0.0989784951100186	0.413054698177148	-149657.905151361	29779
"5%"	0.0367573344081709	0.0458645265311417	3.32375344822946e-08	0.0991172196589082	0.413129146288166	-149656.979404294	29779
"7.5%"	0.03676093490827	0.0458750180459983	5.5504520720397e-08	0.0992174372240821	0.413176093983244	-149656.338622291	29779
"10%"	0.0367634392156944	0.0458833617886386	7.93358974596443e-08	0.0992844636425565	0.413215337913921	-149655.889195325	29779
"12.5%"	0.0367655134493754	0.045890605135773	9.9525101248448e-08	0.0993442670000544	0.413246514429178	-149655.579302243	29779
"15%"	0.0367673977278192	0.0458961479662907	1.20374598611262e-07	0.0993930325635235	0.413275411000642	-149655.284555017	29779
"17.5%"	0.0367690403006058	0.0459007924290962	1.46145020994079e-07	0.0994457016212197	0.41329771569091	-149655.029738819	29779
"20%"	0.0367705479719976	0.0459057138878355	1.7519729636181e-07	0.0994959088288648	0.413321549455955	-149654.83262969	29779
"22.5%"	0.0367722297843676	0.0459099653347363	1.97644955941685e-07	0.099537522270308	0.413340256669171	-149654.63568206	29779
"25%"	0.0367732108730594	0.0459136492984744	2.20453177840733e-07	0.0995706156229142	0.413358444053178	-149654.475962146	29779
"27.5%"	0.0367743711587215	0.045917763303214	2.4182549206036e-07	0.0996040967996696	0.413377355048878	-149654.321939043	29779
"30%"	0.0367755773649938	0.0459214818025984	2.65511387662906e-07	0.0996398377792602	0.413394585119971	-149654.172837689	29779
"32.5%"	0.0367766479695617	0.0459250202544035	2.89202414524501e-07	0.0996731903542506	0.413412000522209	-149654.03581128	29779
"35%"	0.0367778400795099	0.0459281510401209	3.11743799430094e-07	0.0997010822127177	0.41342695188656	-149653.894705399	29779
"37.5%"	0.0367790445854025	0.0459322387490778	3.3779250690182e-07	0.0997324388054202	0.413443377285875	-149653.769956092	29779
"40%"	0.0367800658052174	0.0459362400191635	3.71015900203369e-07	0.0997622395871943	0.413458235792708	-149653.642857848	29779
"42.5%"	0.0367810307657591	0.0459394251553077	3.97259862931693e-07	0.0997874504795559	0.413473193430154	-149653.528214787	29779
"45%"	0.0367821064383641	0.0459431525459342	4.20101515559321e-07	0.0998126254561464	0.413488513369743	-149653.418619778	29779
"47.5%"	0.0367830557862294	0.0459470861522234	4.47237056087303e-07	0.099844400115248	0.413504851548115	-149653.308310604	29779
"50%"	0.0367838861244039	0.0459507401909638	4.74674511493601e-07	0.099872333763662	0.413519182012909	-149653.207514093	29779
"52.5%"	0.0367848150647324	0.0459536425352895	5.30206652403188e-07	0.0999029212354522	0.413532788083436	-149653.106755802	29779
"55%"	0.0367856923783058	0.0459568299801998	5.65932147310534e-07	0.0999322278093274	0.413547806627522	-149653.004617856	29779
"57.5%"	0.0367867176547417	0.0459606583004933	6.06935988251055e-07	0.0999685965310495	0.413564893000327	-149652.902609518	29779
"60%"	0.0367876172573235	0.0459636267998403	6.49502710548595e-07	0.100003889071359	0.413578455049089	-149652.803899463	29779
"62.5%"	0.0367886941424266	0.0459672337786292	6.81782734135322e-07	0.100038355675285	0.41359565649973	-149652.709276483	29779
"65%"	0.036789772647664	0.0459705447040378	7.37932439972342e-07	0.100072419155073	0.41360856541803	-149652.619033727	29779
"67.5%"	0.0367906744397788	0.0459739236063148	7.82550981461085e-07	0.100098916829793	0.413623248487232	-149652.523117789	29779
"70%"	0.0367917397906325	0.0459779283788386	8.43607986359243e-07	0.100130904234861	0.413641093049189	-149652.433498145	29779
"72.5%"	0.0367930209795103	0.0459825719722913	8.94339628266998e-07	0.100173398118306	0.413658732981339	-149652.340861785	29779
"75%"	0.0367940899358291	0.0459861546590633	9.53004786218991e-07	0.100207604120523	0.413676324623141	-149652.249975328	29779
"77.5%"	0.0367953798633915	0.0459893136184916	1.03182843932767e-06	0.100245322782284	0.413695896971309	-149652.157169107	29779
"80%"	0.036796945392088	0.045993558002967	1.12195543121364e-06	0.100285508459814	0.413714065439516	-149652.055658468	29779
"82.5%"	0.0367983382099501	0.0459987391559525	1.20515117119768e-06	0.100334125479409	0.413743198231478	-149651.950621982	29779
"85%"	0.0367999536598652	0.0460041479173093	1.28329801926897e-06	0.100379270892953	0.413765734775649	-149651.852829322	29779
"87.5%"	0.0368016232201476	0.0460093096309307	1.40754276196038e-06	0.100430353579547	0.413793648777474	-149651.736346173	29779
"90%"	0.0368037145401506	0.0460168619466268	1.52983707076759e-06	0.100504584135282	0.413826215968068	-149651.610359855	29779
"92.5%"	0.0368069023573232	0.0460248019250506	1.73351457948308e-06	0.100583422210386	0.413860139921196	-149651.479319906	29779
"95%"	0.0368100478760511	0.0460366434960929	2.0425954228259e-06	0.100664153232932	0.413913417054566	-149651.331930842	29779
"97.5%"	0.0368150963551639	0.0460557700024539	2.44828177027496e-06	0.100784516095213	0.414005158627987	-149651.114420851	29779
"100%"	0.0368383423046076	0.0461514447353876	7.65303439623247e-06	0.101461017310011	0.414557421792919	-149650.555280503	29779
"Mean"	0.0369849010484554	0.043662896241486	4.0015413244369e-07	0.0929845447900053	0.401816521415124	-106063.723312254	383194
"Std."	1.01047083377183e-05	3.63897584032583e-05	3.96179026703031e-07	0.00032422764998524	0.00014799787192649	1.70953207227348	383194
"Acceptance ratio"	0.11118	0.1393	0.0374	0.15534	0.12334	0.45322	383194
"0%"	0.0369466176249668	0.0435248574697807	6.8208359513987e-11	0.0916321131434241	0.401241349050012	-106077.167278524	383194
"2.5%"	0.0369654001460211	0.0435927597487696	6.67881525199762e-09	0.0923639151169797	0.401521267902143	-106067.798107513	383194
"5%"	0.0369682763556835	0.0436039962409265	2.14014576696707e-08	0.0924591131628542	0.401576840971222	-106066.951889767	383194
"7.5%"	0.0369703480855498	0.0436108801882581	3.18944487003141e-08	0.0925194880492895	0.401604569981699	-106066.405441104	383194
"10%"	0.0369719252662352	0.043615815554658	4.55427535721928e-08	0.0925679236869806	0.4016262733406	-106066.013789416	383194
"12.5%"	0.0369731546485845	0.0436202936346967	5.92275903164255e-08	0.0926108860427961	0.401644467430752	-106065.689626921	383194
"15%"	0.0369742285115507	0.0436244869690999	7.40253814236241e-08	0.0926461071801954	0.401660599602662	-106065.421514861	383194
"17.5%"	0.0369753957099347	0.0436282213917279	8.52674359228002e-08	0.0926772357246322	0.401677635191452	-106065.186446349	383194
"20%"	0.036976367219745	0.0436315131641478	1.00292437557583e-07	0.0927091938649056	0.40169179502618	-106064.978567109	383194
"22.5%"	0.036977170493021	0.043634534575726	1.08013397334184e-07	0.0927342715759178	0.401706061166255	-106064.786178457	383194
"25%"	0.0369778744069574	0.0436378795631305	1.23804665902972e-07	0.092765408575154	0.401714992058373	-106064.60547469	383194
"27.5%"	0.0369787145713456	0.0436405373504521	1.32335758974305e-07	0.0927897687409247	0.401727200736318	-106064.456974262	383194
