pop nA A nB B nC C nD D nE E nF F nTOTAL TOTAL
183195332 kirtlandii 358 93770482 44 62427838 25 58868883 10 33722219 1 4625824 9 62670208 447 316085454
183194861 kirtlandii 244 35433522 3 4691562 3 7028251 0 0 0 0 0 0 250 47153335
183195321 kirtlandii 227 34029130 6 8998761 2 5040319 0 0 1 4176491 0 0 236 52244701
183195304 kirtlandii 322 48282771 6 8290609 5 11050686 2 7221646 0 0 2 15549606 337 90395318
183194841 kirtlandii 289 44317018 3 3913432 1 2822272 2 6758981 0 0 0 0 295 57811703
183195326 kirtlandii 254 36719531 2 2320230 2 5013207 0 0 0 0 0 0 258 44052968
183195312 kirtlandii 242 34445810 4 5215817 0 0 1 3549796 0 0 1 6807420 248 50018843
29779 kirtlandii 1 863206 2 3053856 0 0 0 0 3 13468120 27 917685706 33 935070888
383194 kirtlandii 989 100928669 1 1321992 0 0 0 0 0 0 0 0 990 102250661
383202 kirtlandii 1 863206 2 3333923 0 0 0 0 3 13468167 27 917393672 33 935058968
383205 kirtlandii 21 10253392 9 12141790 11 27415826 8 26824939 1 4338170 47 851621209 97 932595326
507264 kirtlandii 259 29637626 1 1210669 0 0 0 0 0 0 0 0 260 30848295
507265 kirtlandii 73 32014057 63 90517039 33 84400873 21 71037579 16 71568201 66 577163983 272 926701732
