pop nA A nB B nC C nD D nE E nF F nTOTAL TOTAL
183195332 kirtlandii 0 0 7 11979447 18 45614590 7 24573711 7 30493442 4 31505387 43 144166577
183194861 kirtlandii 0 0 4 6332572 6 15256008 3 10813721 0 0 0 0 13 32402301
183195321 kirtlandii 0 0 4 6975199 6 15324059 5 16923253 0 0 0 0 15 39222511
183195304 kirtlandii 1 901508 3 5498184 12 27518456 6 19825741 1 4189078 1 9617907 24 67550874
183194841 kirtlandii 0 0 4 6095212 10 24541384 2 6520633 1 4601835 0 0 17 41759064
183195326 kirtlandii 0 0 4 5485853 2 5159857 4 12412197 2 9773395 0 0 12 32831302
183195312 kirtlandii 0 0 4 6863059 9 21480934 2 7769388 3 12562523 1 5010769 19 53686673
29779 kirtlandii 0 0 0 0 0 0 0 0 0 0 0 0 0 0
383194 kirtlandii 0 0 0 0 0 0 0 0 0 0 0 0 0 0
383202 kirtlandii 0 0 0 0 0 0 0 0 0 0 0 0 0 0
383205 kirtlandii 0 0 0 0 0 0 0 0 0 0 0 0 0 0
507264 kirtlandii 0 0 0 0 0 0 0 0 0 0 0 0 0 0
507265 kirtlandii 0 0 0 0 0 0 0 0 0 0 0 0 0 0
