pop nA A nB B nC C nD D nE E nF F nTOTAL TOTAL
183195332 kirtlandii 75 48395161 11 12769294 1 2179228 0 0 0 0 0 0 87 63343683
183194861 kirtlandii 5 3333008 0 0 0 0 0 0 0 0 0 0 5 3333008
183195321 kirtlandii 9 5849182 1 1256987 0 0 0 0 0 0 0 0 10 7106169
183195304 kirtlandii 12 8022230 5 6553824 0 0 0 0 0 0 0 0 17 14576054
183194841 kirtlandii 5 3282931 1 1078895 0 0 0 0 0 0 0 0 6 4361826
183195326 kirtlandii 2 1182450 0 0 0 0 0 0 0 0 0 0 2 1182450
183195312 kirtlandii 8 5458240 0 0 0 0 0 0 0 0 0 0 8 5458240
29779 kirtlandii 0 0 0 0 0 0 0 0 0 0 0 0 0 0
383194 kirtlandii 0 0 0 0 0 0 0 0 0 0 0 0 0 0
383202 kirtlandii 0 0 0 0 0 0 0 0 0 0 0 0 0 0
383205 kirtlandii 0 0 0 0 0 0 0 0 0 0 0 0 0 0
507264 kirtlandii 0 0 0 0 0 0 0 0 0 0 0 0 0 0
507265 kirtlandii 0 0 0 0 0 0 0 0 0 0 0 0 0 0
