 FID IID PHE NSEG KB KBAVG
 183195332 183195332 -9 135 922520 6833.48 
 183194861 183194861 -9 136 920190 6766.1 
 183195321 183195321 -9 135 922897 6836.27 
 183195304 183195304 -9 141 920257 6526.65 
 183194841 183194841 -9 142 921938 6492.52 
 183195326 183195326 -9 149 924938 6207.64 
 183195312 183195312 -9 145 920202 6346.22 
 29779 29779 -9 539 611307 1134.15 
 383194 383194 -9 389 817826 2102.38 
 383202 383202 -9 510 718405 1408.64 
 383205 383205 -9 514 470624 915.611 
 507264 507264 -9 245 901805 3680.84 
 507265 507265 -9 533 719104 1349.16 
