sample	thetamid	thetamin	thetamax
183195332	0.000922639	0.000264411	0.00198346
183194861	0.00154744	0.000790267	0.00255438
183195321	0.00132744	0.000599408	0.00227117
183195304	0.000956573	0.000156561	0.00267852
183194841	0.000863279	0.00010971	0.00260295
183195326	0.00380215	0.003338	0.00433548
183195312	0.000945637	0.000300471	0.0020231
29779	0.0047515	0.00447363	0.00495957
383194	0.00440652	0.00427512	0.00469795
383202	0.00440782	0.00393814	0.0048281
383205	0.0048542	0.00472578	0.00497272
507264	0.00433203	0.00424464	0.00456473
507265	0.00458806	0.00436042	0.00484673
