sample	thetamid	thetamin	thetamax
183195332	0.00236846	0.00158629	0.00461531
183194861	0.00192389	0.00178724	0.0049118
183195321	0.00224575	0.00142642	0.0049666
183195304	0.00206132	0.00164122	0.00499998
183194841	0.00205078	0.00034879	0.00499999
183195326	0.00205902	0.0010873	0.00397158
183195312	0.00180855	0.000292465	0.00499986
29779	0.00475578	0.00444272	0.00495497
383194	0.00441484	0.00427661	0.00468266
383202	0.00441927	0.00394941	0.00484463
383205	0.00486072	0.00471318	0.00497418
507264	0.00435444	0.00426739	0.00457934
507265	0.00459062	0.00440979	0.00484383
