sample,sroh,nroh,hmm_posterior_decoding
183195332,254000000,29,min
183195332,236000000,25,mid
183195332,222000000,24,max
183194861,7000000,4,min
183194861,7000000,4,mid
183194861,7000000,4,max
183195321,16000000,8,min
183195321,13000000,6,mid
183195321,13000000,6,max
183195304,45000000,7,min
183195304,44000000,7,mid
183195304,44000000,7,max
183194841,15000000,9,min
183194841,10000000,6,mid
183194841,9000000,5,max
183195326,8000000,4,min
183195326,8000000,4,mid
183195326,7000000,3,max
183195312,14000000,4,min
183195312,14000000,4,mid
183195312,13000000,5,max
29779,,,min
29779,,,mid
29779,,,max
383194,,,min
383194,,,mid
383194,,,max
383202,,,min
383202,,,mid
383202,,,max
383205,,,min
383205,,,mid
383205,,,max
507264,1000000,1,min
507264,1000000,1,mid
507264,,,max
507265,,,min
507265,,,mid
507265,,,max
