neutral	31125	1.0329743367117128	32909	53781	36020	58249	0.0	R16
mild	2511	1.0309575723373294	2174	4168	2380	4488	0.0	R16
moderate	108	0.8940947784724451	4	98	5	115	0.0	R16
strong	71	0.6284832941323146	1	42	4	65	0.0	R16
neutral	30382	0.9561819417518629	31198	51841	34607	57597	0.0	R23
mild	2350	0.9175977928091551	1934	3662	2123	4274	0.0	R23
moderate	115	0.870771436816016	6	104	7	121	0.0	R23
strong	88	0.7735727509277093	2	55	2	73	0.0	R23
neutral	30561	1.0078217927011572	31983	52469	34834	57741	0.0	R22
mild	2432	1.0612142285861774	2135	4009	2269	4225	0.0	R22
moderate	103	1.1960765630396353	8	102	4	97	0.0	R22
strong	89	0.8962496825278623	4	61	1	78	0.0	R22
neutral	30877	0.9589482217692715	32544	53452	37033	56813	0.0	R20
mild	2394	0.932339057332363	2000	3950	2292	4292	0.0	R20
moderate	92	1.0491600180573428	5	87	6	82	0.0	R20
strong	81	1.4305461187849764	6	78	1	64	0.0	R20
neutral	32403	0.9932085042708426	32751	55316	34448	64229	0.0	R26
mild	2548	0.9809019911625688	2029	4173	2140	4811	0.0	R26
moderate	93	0.9442858769508609	8	79	5	95	0.0	R26
strong	88	1.0471003736638866	2	67	3	65	0.0	R26
neutral	26678	0.9685131002456278	27044	46539	31792	47227	1.0	R13
mild	1568	0.9507049586204619	1230	2499	1453	2581	1.0	R13
moderate	12	0.49440244253313403	0	5	1	8	1.0	R13
strong	7	0.40290109495983756	0	2	0	5	1.0	R13
neutral	31862	1.0012987935043205	32681	54333	38841	55255	0.0	R25
mild	2489	0.9842177476671059	2017	4114	2445	4212	0.0	R25
moderate	84	1.3382820326309401	9	92	6	78	0.0	R25
strong	73	1.0054085242762243	4	56	5	58	0.0	R25
neutral	32634	0.9887623275836244	34445	58215	40837	58030	0.0	R18
mild	2501	0.9766584669548003	2151	4255	2563	4304	0.0	R18
moderate	124	0.7697091180726491	2	102	8	124	0.0	R18
strong	72	1.1282293154416019	3	65	5	56	0.0	R18
neutral	31011	1.0199721678376528	33649	50880	35603	57047	0.0	R21
mild	2373	1.0238151150540986	2049	3779	2144	4174	0.0	R21
moderate	85	0.6685992451248705	3	74	8	104	0.0	R21
strong	80	1.0816603536750882	4	70	1	73	0.0	R21
neutral	31701	0.9995251365035829	33265	56276	38502	58319	0.0	R29
mild	2432	0.9511770149205097	1943	4128	2383	4255	0.0	R29
moderate	116	1.0491884784779861	7	112	10	106	0.0	R29
strong	88	0.7144980693825793	2	60	2	88	0.0	R29
neutral	31128	0.9669216271969192	31408	54165	36091	58809	0.0	R27
mild	2348	1.0178978652843798	1894	4091	2205	4137	0.0	R27
moderate	105	0.8891575899929421	6	94	7	110	0.0	R27
strong	56	0.6149960208653381	0	39	5	55	0.0	R27
neutral	31488	1.0097246354697487	32696	54460	38433	51778	0.0	R24
mild	2419	0.9839160226779993	2044	3971	2378	3966	0.0	R24
moderate	107	1.02373465806436	1	98	13	73	0.0	R24
strong	67	0.8302298301652175	1	51	4	56	0.0	R24
neutral	30883	0.9688966988393087	32168	54007	37760	57687	0.0	R19
mild	2455	0.9652622935521304	2085	4123	2469	4387	0.0	R19
moderate	99	0.6544385914639276	4	79	9	119	0.0	R19
strong	76	0.8422067166207206	0	53	1	64	0.0	R19
neutral	31724	0.97145948209902	32836	54502	37231	59191	0.0	R28
mild	2444	0.9284068743195573	1976	4053	2427	4244	0.0	R28
moderate	96	0.7122894116468473	5	78	11	103	0.0	R28
strong	71	1.2619172933318503	5	58	4	48	0.0	R28
neutral	31472	0.9861217598100973	32455	54699	35545	59854	0.0	R30
mild	2388	0.9882122658535224	1929	3839	2027	4314	0.0	R30
moderate	102	1.0643638490416112	9	93	5	98	0.0	R30
strong	72	0.7778464754474551	2	49	0	69	0.0	R30
neutral	31243	0.9861731587659385	32421	54118	36277	57176	0.0	R17
mild	2519	0.9678459597843554	2057	4161	2306	4463	0.0	R17
moderate	97	0.8640706098326558	1	105	6	113	0.0	R17
strong	82	0.7218797702337417	1	54	1	76	0.0	R17
neutral	27873	0.9457579765132944	28700	47928	32463	52287	0.5	R3
mild	1715	0.9202750311102482	1422	2761	1596	3118	0.5	R3
moderate	22	0.8808606447107469	1	12	0	16	0.5	R3
strong	15	0.5030744257968447	0	5	0	10	0.5	R3
neutral	27362	1.0245005028261311	28204	46018	30277	49774	0.5	R5
mild	1763	0.961697600013231	1545	2620	1687	2983	0.5	R5
moderate	20	1.4854466680027159	1	11	0	9	0.5	R5
strong	12	0.8814738469466664	0	6	0	7	0.5	R5
neutral	27107	1.0344024035423185	30443	46258	31810	51194	0.5	R1
mild	1699	0.9850651160139924	1483	2716	1613	2993	0.5	R1
moderate	28	0.9152537222107542	0	17	1	17	0.5	R1
strong	19	2.0451008312675327	0	14	0	7	0.5	R1
neutral	27621	0.9948482571288171	29415	46993	32374	50435	0.5	R4
mild	1754	1.0432895299599345	1453	2693	1516	2865	0.5	R4
moderate	26	1.20523483658477	0	20	1	15	0.5	R4
strong	15	0.8878305767363238	0	7	0	8	0.5	R4
neutral	31841	0.9829575794494603	34022	54517	36832	60428	0.0	R15
mild	2383	0.9611926225663822	2071	3844	2222	4356	0.0	R15
moderate	92	0.8501156037613411	2	75	7	80	0.0	R15
strong	77	0.6392184232571781	2	47	2	76	0.0	R15
neutral	26815	1.0046413242378394	27766	46455	30517	50608	1.0	R15
mild	1574	1.0588860338378974	1270	2468	1355	2593	1.0	R15
moderate							1.0	R15
strong							1.0	R15
neutral	26942	0.9678407018482548	26806	47251	32498	45552	1.0	R11
mild	1540	0.9696415032320754	1187	2463	1438	2397	1.0	R11
moderate	13	0.556444984020213	0	5	0	9	1.0	R11
strong	10	0.6677339808242555	0	4	0	6	1.0	R11
neutral	27665	0.9654605972533281	28806	46521	31445	51453	1.0	R28
mild	1583	0.9863016589204813	1318	2397	1353	2727	1.0	R28
moderate	16	0.5388910175022171	0	7	0	13	1.0	R28
strong	7	0.7505982029495165	0	3	0	4	1.0	R28
neutral	31571	1.0051629558758006	33410	55092	37570	58016	0.0	R14
mild	2310	0.9458356350637026	1949	3770	2272	4077	0.0	R14
moderate	97	1.3984099621295196	8	110	6	85	0.0	R14
strong	83	1.1457205993174269	3	72	3	65	0.0	R14
neutral	27887	1.0354487508032595	30130	46649	32357	49919	0.5	R9
mild	1766	0.9558489624879637	1443	2652	1658	2855	0.5	R9
moderate	24	0.6821723381779692	0	17	5	15	0.5	R9
strong	14	0.46656646748790587	0	5	1	9	0.5	R9
neutral	25789	0.9862361908486164	27081	45192	30743	48162	1.0	R16
mild	1478	0.9782830197058898	1269	2420	1479	2527	1.0	R16
moderate	21	0.6083562353697567	0	10	0	17	1.0	R16
strong							1.0	R16
neutral	27419	1.0306735651966872	29178	48338	32909	49832	1.0	R29
mild	1540	0.9756245562809828	1387	2465	1588	2655	1.0	R29
moderate	20	0.9618885540590969	0	12	0	13	1.0	R29
strong							1.0	R29
neutral	28952	1.0118872977871785	29011	50151	31903	54608	0.5	R2
mild	1893	1.024369038831901	1515	2963	1590	3308	0.5	R2
moderate	20	0.5507409931943963	1	8	0	19	0.5	R2
strong	9	1.3080098588366909	0	5	0	4	0.5	R2
neutral	26286	1.0092598406570903	27240	45764	30580	47570	1.0	R18
mild	1452	0.9909622390469456	1316	2237	1420	2474	1.0	R18
moderate	16	0.7143348061731234	0	7	0	10	1.0	R18
strong	8	1.7007971575550556	0	5	0	3	1.0	R18
neutral	32141	0.9873191661468199	34654	56004	39292	57732	0.0	R9
mild	2522	0.9564160042967382	2151	4049	2508	4183	0.0	R9
moderate	112	0.8329941652660864	4	101	7	117	0.0	R9
strong	89	1.0676062693082515	6	66	9	56	0.0	R9
neutral	25716	0.9920974401268302	28615	40656	31488	45386	1.0	R26
mild	1481	0.9461104535330214	1246	2085	1410	2366	1.0	R26
moderate	10	0.3925575975298426	0	3	1	6	1.0	R26
strong	7	0.7851151950596852	0	3	0	4	1.0	R26
neutral	26828	1.0052591484854572	29087	44507	32083	46810	1.0	R12
mild	1540	0.9156094395086767	1277	2342	1543	2461	1.0	R12
moderate	17	1.5892523276680217	0	11	0	7	1.0	R12
strong	6	0.0	0	0	0	6	1.0	R12
neutral	26039	0.9759671676522799	28054	40158	29817	46628	1.0	R6
mild	1524	1.0004527426315937	1305	2180	1377	2445	1.0	R6
moderate	14	0.46542049322891527	0	5	0	11	1.0	R6
strong							1.0	R6
neutral	27137	0.9786171733318261	29240	45539	31670	49104	1.0	R9
mild	1566	0.9738435363900574	1346	2343	1439	2546	1.0	R9
moderate	12	1.1496730756781397	0	7	0	6	1.0	R9
strong							1.0	R9
neutral	25759	0.9936204525487222	27497	43134	30122	45783	1.0	R25
mild	1543	1.0189521670286346	1397	2353	1519	2426	1.0	R25
moderate	11	1.1994271272114698	0	6	0	5	1.0	R25
strong							1.0	R25
neutral	31853	0.9526743689403178	32934	55395	37905	60110	0.0	R12
mild	2529	0.9781346938600683	2104	4247	2386	4543	0.0	R12
moderate	93	0.6440873493940801	2	70	6	104	0.0	R12
strong	81	0.7671926632992664	4	46	4	64	0.0	R12
neutral	26866	0.9829916221818327	27908	46662	31318	48114	1.0	R22
mild	1625	0.964156008336637	1433	2555	1567	2757	1.0	R22
moderate	11	1.1852203015561031	0	6	0	5	1.0	R22
strong	5	1.481525376945129	0	3	0	2	1.0	R22
neutral	25963	1.027427463122115	28523	41862	30575	46192	1.0	R23
mild	1571	0.958664250038452	1392	2334	1654	2446	1.0	R23
moderate	12	0.6522277910345549	0	5	1	6	1.0	R23
strong	5	5.217822328276438	1	3	0	1	1.0	R23
neutral	25669	1.046804263497724	27413	43047	28486	45998	1.0	R14
mild	1549	1.0528279103490177	1370	2280	1376	2483	1.0	R14
moderate	14	0.6669867487592415	0	6	0	9	1.0	R14
strong	8	0.28585146375396064	0	2	1	5	1.0	R14
neutral	27940	0.9859422550227973	28239	48356	32183	50182	0.5	R8
mild	1840	0.9916687141328445	1540	2983	1689	3199	0.5	R8
moderate	22	0.7794514249319701	0	10	0	13	0.5	R8
strong							0.5	R8
neutral	26765	0.9963543296235958	27597	46338	30708	49030	1.0	R30
mild	1560	0.9496348767086976	1345	2512	1553	2688	1.0	R30
moderate	12	0.6088308571187924	0	6	1	8	1.0	R30
strong							1.0	R30
neutral	31583	0.9607501249928317	32311	55886	36870	60847	0.0	R13
mild	2455	0.9351482528414364	2027	4082	2354	4484	0.0	R13
moderate	97	1.085824924648928	4	96	2	96	0.0	R13
strong	83	1.0352854412211125	4	62	4	62	0.0	R13
neutral	26520	1.0042362062936119	26800	45962	29489	48135	1.0	R20
mild	1538	0.9992599968071321	1258	2413	1384	2523	1.0	R20
moderate	19	0.5012213654463427	0	8	0	16	1.0	R20
strong	8	0.28641220882648155	0	2	0	7	1.0	R20
neutral	26639	1.0024814079692441	27302	44862	30146	46743	1.0	R21
mild	1557	0.9483398734595755	1221	2395	1393	2559	1.0	R21
moderate	13	1.433710739472868	0	10	0	7	1.0	R21
strong	10	0.5734842957891474	0	4	0	7	1.0	R21
neutral	25566	0.9769067902161334	26661	43368	28099	46995	1.0	R7
mild	1392	0.9066894447808126	1144	2111	1286	2302	1.0	R7
moderate	15	0.6736715334460327	0	7	0	10	1.0	R7
strong	12	3.2079596830763464	0	10	0	3	1.0	R7
neutral	30753	1.0003195559061486	32771	52415	36353	57669	0.0	R11
mild	2465	1.0024661522994511	2037	3951	2233	4347	0.0	R11
moderate	94	0.9682017006821975	7	94	15	88	0.0	R11
strong	72	0.8922161962599522	1	49	3	54	0.0	R11
neutral	32415	0.9535281328194253	32092	57384	37529	60667	0.0	R3
mild	2475	0.9263093004309058	1925	4103	2279	4433	0.0	R3
moderate	111	0.9724821801335374	6	107	10	106	0.0	R3
strong	77	0.8705966552795773	3	52	4	60	0.0	R3
neutral	25946	1.007285629608761	25916	45759	28337	49421	1.0	R3
mild	1443	1.0462402058688918	1203	2357	1255	2538	1.0	R3
moderate	10	0.8582097482575263	0	5	0	6	1.0	R3
strong							1.0	R3
neutral	26208	0.99105067789799	26160	44787	29567	45871	1.0	R8
mild	1429	0.9933716953699748	1275	2164	1360	2357	1.0	R8
moderate	6	0.16674543784414575	0	1	0	6	1.0	R8
strong	6	0.5002363135324372	0	2	0	4	1.0	R8
neutral	31644	0.996637481513673	32664	55051	35753	59117	0.0	R1
mild	2427	0.9949753071581962	2073	3952	2199	4357	0.0	R1
moderate	107	0.9257541241134951	7	90	7	100	0.0	R1
strong	85	1.4888060457897634	2	78	2	53	0.0	R1
neutral	31666	1.0260241621133261	32421	55880	36796	57990	0.0	R5
mild	2420	1.0103509780492272	1911	3989	2195	4153	0.0	R5
moderate	92	0.7877068890179019	4	77	7	98	0.0	R5
strong	66	0.8882270038141556	2	46	2	55	0.0	R5
neutral	31052	1.028908419300477	33556	54328	38336	55518	0.0	R8
mild	2424	0.951890353326519	1951	3937	2374	4108	0.0	R8
moderate	112	1.171136982010208	4	104	8	86	0.0	R8
strong	85	1.0858628934774541	4	73	4	71	0.0	R8
neutral	31213	0.9987481667481288	34153	53330	39415	55052	0.0	R6
mild	2343	0.9085559671245679	2056	3864	2587	4033	0.0	R6
moderate	89	1.078207278502894	7	87	12	75	0.0	R6
strong	76	0.6820201396821894	2	54	4	79	0.0	R6
neutral	26242	0.9627852244967148	25481	46943	29975	49713	1.0	R27
mild	1514	0.9844702832000858	1266	2451	1433	2626	1.0	R27
moderate	18	0.4848961016959077	0	7	0	15	1.0	R27
strong	6	2.597657687656648	0	5	0	2	1.0	R27
neutral	28484	1.000407743279932	29451	46875	32431	52061	0.5	R7
mild	1876	0.9758800264827917	1489	2822	1678	3118	0.5	R7
moderate	27	0.6433474142883678	0	13	0	21	0.5	R7
