 FID IID PHE CHR SNP1 SNP2 POS1 POS2 KB NSNP DENSITY PHOM PHET
 183195332 183195332 -9.000 1 . . 158325 5753263 5594.939 635 8.811 0.965 0.035
 183195332 183195332 -9.000 1 . . 5753293 13907714 8154.422 883 9.235 0.972 0.028
 183195332 183195332 -9.000 1 . . 13943216 16505915 2562.700 395 6.488 0.967 0.033
 183195332 183195332 -9.000 1 . . 16614908 18255040 1640.133 257 6.382 0.969 0.031
 183195332 183195332 -9.000 1 . . 18255117 25234002 6978.886 937 7.448 0.982 0.018
 183195332 183195332 -9.000 1 . . 25244454 27701226 2456.773 578 4.250 0.965 0.035
 183195332 183195332 -9.000 1 . . 27701335 32570863 4869.529 518 9.401 0.973 0.027
 183195332 183195332 -9.000 1 . . 32610891 57635860 25024.970 2652 9.436 0.978 0.022
 183195332 183195332 -9.000 1 . . 57742428 59619775 1877.348 272 6.902 0.974 0.026
 183195332 183195332 -9.000 1 . . 59619849 67025881 7406.033 932 7.946 0.976 0.024
 183195332 183195332 -9.000 1 . . 67310747 74613985 7303.239 867 8.424 0.971 0.029
 183195332 183195332 -9.000 1 . . 74614016 86255885 11641.870 1272 9.152 0.980 0.020
 183195332 183195332 -9.000 1 . . 86256172 105665451 19409.280 2140 9.070 0.987 0.013
 183195332 183195332 -9.000 1 . . 105668220 108169477 2501.258 442 5.659 0.968 0.032
 183195332 183195332 -9.000 1 . . 108170685 110892196 2721.512 793 3.432 0.967 0.033
 183195332 183195332 -9.000 1 . . 110892443 113990339 3097.897 721 4.297 0.979 0.021
 183195332 183195332 -9.000 2 . . 10069 1620515 1610.447 194 8.301 0.969 0.031
 183195332 183195332 -9.000 2 . . 1666339 3150557 1484.219 425 3.492 0.960 0.040
 183195332 183195332 -9.000 2 . . 3224213 4053465 829.253 318 2.608 0.953 0.047
 183195332 183195332 -9.000 2 . . 4053687 4615953 562.267 106 5.304 0.953 0.047
 183195332 183195332 -9.000 2 . . 4615995 7254131 2638.137 474 5.566 0.973 0.027
 183195332 183195332 -9.000 2 . . 7260257 8119164 858.908 129 6.658 0.953 0.047
 183195332 183195332 -9.000 2 . . 8256486 22219894 13963.409 1439 9.704 0.982 0.018
 183195332 183195332 -9.000 2 . . 22219962 37576250 15356.289 1341 11.451 0.978 0.022
 183195332 183195332 -9.000 2 . . 37576439 55417720 17841.282 2052 8.695 0.973 0.027
 183195332 183195332 -9.000 2 . . 55417735 56919800 1502.066 249 6.032 0.984 0.016
 183195332 183195332 -9.000 2 . . 56920400 59178863 2258.464 187 12.077 0.947 0.053
 183195332 183195332 -9.000 2 . . 59187886 74937231 15749.346 1625 9.692 0.978 0.022
 183195332 183195332 -9.000 2 . . 75516138 76725824 1209.687 168 7.201 0.935 0.065
 183195332 183195332 -9.000 2 . . 76726189 101711686 24985.498 2537 9.848 0.988 0.012
 183195332 183195332 -9.000 2 . . 101711753 120598965 18887.213 1998 9.453 0.986 0.014
 183195332 183195332 -9.000 2 . . 120598979 125778699 5179.721 621 8.341 0.990 0.010
 183195332 183195332 -9.000 2 . . 125850782 149904948 24054.167 3073 7.828 0.982 0.018
 183195332 183195332 -9.000 3 . . 45669 13664505 13618.837 1572 8.663 0.977 0.023
 183195332 183195332 -9.000 3 . . 13789624 15189445 1399.822 206 6.795 0.966 0.034
 183195332 183195332 -9.000 3 . . 15189506 16372571 1183.066 165 7.170 0.982 0.018
 183195332 183195332 -9.000 3 . . 16546764 29380799 12834.036 1410 9.102 0.986 0.014
 183195332 183195332 -9.000 3 . . 29380843 33394619 4013.777 426 9.422 0.986 0.014
 183195332 183195332 -9.000 3 . . 33472052 33993263 521.212 83 6.280 0.964 0.036
 183195332 183195332 -9.000 3 . . 33993292 41902049 7908.758 774 10.218 0.974 0.026
 183195332 183195332 -9.000 3 . . 41965571 49135611 7170.041 663 10.815 0.979 0.021
 183195332 183195332 -9.000 3 . . 49135646 70366926 21231.281 2381 8.917 0.979 0.021
 183195332 183195332 -9.000 3 . . 70418659 111062278 40643.620 5034 8.074 0.981 0.019
 183195332 183195332 -9.000 4 . . 43569 3458849 3415.281 695 4.914 0.973 0.027
 183195332 183195332 -9.000 4 . . 3494234 5087177 1592.944 222 7.175 0.964 0.036
 183195332 183195332 -9.000 4 . . 5087205 21266598 16179.394 1780 9.090 0.987 0.013
 183195332 183195332 -9.000 4 . . 21387663 39263433 17875.771 2124 8.416 0.985 0.015
 183195332 183195332 -9.000 4 . . 39263463 49458788 10195.326 889 11.468 0.987 0.013
 183195332 183195332 -9.000 4 . . 49554943 63485531 13930.589 1220 11.419 0.967 0.033
 183195332 183195332 -9.000 4 . . 63485594 69004191 5518.598 677 8.152 0.969 0.031
 183195332 183195332 -9.000 4 . . 69020455 69416226 395.772 80 4.947 0.938 0.063
 183195332 183195332 -9.000 4 . . 69902685 70271121 368.437 109 3.380 0.945 0.055
 183195332 183195332 -9.000 4 . . 70271324 70858519 587.196 130 4.517 0.946 0.054
 183195332 183195332 -9.000 5 . . 66058 524194 458.137 58 7.899 0.948 0.052
 183195332 183195332 -9.000 5 . . 558883 6749742 6190.860 690 8.972 0.968 0.032
 183195332 183195332 -9.000 5 . . 7605272 11468723 3863.452 535 7.221 0.979 0.021
 183195332 183195332 -9.000 5 . . 11468860 23163494 11694.635 1193 9.803 0.989 0.011
 183195332 183195332 -9.000 5 . . 23163507 29248589 6085.083 683 8.909 0.982 0.018
 183195332 183195332 -9.000 5 . . 29248777 30714166 1465.390 250 5.862 0.976 0.024
 183195332 183195332 -9.000 5 . . 30714370 42793293 12078.924 1338 9.028 0.979 0.021
 183195332 183195332 -9.000 5 . . 43389792 56209628 12819.837 1347 9.517 0.976 0.024
 183195332 183195332 -9.000 5 . . 56216365 58519613 2303.249 541 4.257 0.956 0.044
 183195332 183195332 -9.000 5 . . 58519774 61531548 3011.775 577 5.220 0.972 0.028
 183195332 183195332 -9.000 6 . . 23536 1053782 1030.247 184 5.599 0.967 0.033
 183195332 183195332 -9.000 6 . . 1054082 3843465 2789.384 514 5.427 0.969 0.031
 183195332 183195332 -9.000 6 . . 3929226 18534865 14605.640 1298 11.252 0.978 0.022
 183195332 183195332 -9.000 6 . . 18709862 19099680 389.819 76 5.129 0.934 0.066
 183195332 183195332 -9.000 6 . . 19099721 31797606 12697.886 1226 10.357 0.978 0.022
 183195332 183195332 -9.000 6 . . 31819779 35779404 3959.626 694 5.706 0.976 0.024
 183195332 183195332 -9.000 7 . . 324341 1118982 794.642 105 7.568 0.990 0.010
 183195332 183195332 -9.000 7 . . 1144267 5345799 4201.533 493 8.522 0.963 0.037
 183195332 183195332 -9.000 7 . . 5354092 33410654 28056.563 2317 12.109 0.988 0.012
 183195332 183195332 -9.000 7 . . 33410764 38002464 4591.701 614 7.478 0.974 0.026
 183195332 183195332 -9.000 8 . . 43203 1698192 1654.990 266 6.222 0.955 0.045
 183195332 183195332 -9.000 8 . . 1971636 2491042 519.407 101 5.143 0.960 0.040
 183195332 183195332 -9.000 8 . . 2579715 26600468 24020.754 2369 10.140 0.981 0.019
 183195332 183195332 -9.000 8 . . 26600508 30512405 3911.898 597 6.553 0.961 0.039
 183195332 183195332 -9.000 9 . . 13197 1431556 1418.360 210 6.754 0.952 0.048
 183195332 183195332 -9.000 9 . . 1431675 2648055 1216.381 242 5.026 0.955 0.045
 183195332 183195332 -9.000 9 . . 3412014 19761574 16349.561 1504 10.871 0.977 0.023
 183195332 183195332 -9.000 9 . . 19927593 25769070 5841.478 634 9.214 0.962 0.038
 183195332 183195332 -9.000 10 . . 52456 19643942 19591.487 1795 10.914 0.979 0.021
 183195332 183195332 -9.000 10 . . 19661624 20431706 770.083 51 15.100 0.961 0.039
 183195332 183195332 -9.000 11 . . 313307 3834024 3520.718 564 6.242 0.973 0.027
 183195332 183195332 -9.000 11 . . 3834110 20864330 17030.221 1743 9.771 0.981 0.019
 183195332 183195332 -9.000 12 . . 33750 2115493 2081.744 276 7.543 0.982 0.018
 183195332 183195332 -9.000 12 . . 2128758 11065355 8936.598 675 13.239 0.990 0.010
 183195332 183195332 -9.000 12 . . 11087560 19197268 8109.709 657 12.344 0.985 0.015
